toolName,famille,discipline,discipline_categorie,total_respondants_discipline,count,fractionOfUse,percentageOfUse
Scrivener,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,19.4547619047619,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Droit,SHS,505,10.02142857142857,NaN,NaN
Scalar,autre,Sciences sociales et économie,SHS,6353,20.676190476190474,NaN,NaN
Scalar,autre,Sciences de la vie,STEM,5162,9.00952380952381,NaN,NaN
Scalar,autre,Ingénierie & technologie,STEM,3784,8.976190476190476,NaN,NaN
Scalar,autre,Médecine,Médecine,3803,9.176190476190474,NaN,NaN
Scalar,autre,Arts et Lettres,SHS,3154,31.50952380952381,NaN,NaN
Scalar,autre,Sciences physiques,STEM,2598,3.476190476190476,NaN,NaN
Scalar,autre,Droit,SHS,505,2.176190476190476,NaN,NaN
QuarkXPress,autre,Sciences sociales et économie,SHS,6353,0,NaN,NaN
QuarkXPress,autre,Sciences de la vie,STEM,5162,0.3333333333333333,NaN,NaN
QuarkXPress,autre,Ingénierie & technologie,STEM,3784,0,NaN,NaN
QuarkXPress,autre,Médecine,Médecine,3803,0.3333333333333333,NaN,NaN
QuarkXPress,autre,Arts et Lettres,SHS,3154,0.5,NaN,NaN
QuarkXPress,autre,Sciences physiques,STEM,2598,0.3333333333333333,NaN,NaN
QuarkXPress,autre,Droit,SHS,505,0.5,NaN,NaN
Adobe InDesign,autre,Sciences sociales et économie,SHS,6353,5.476190476190476,NaN,NaN
Adobe InDesign,autre,Sciences de la vie,STEM,5162,4.976190476190476,NaN,NaN
Adobe InDesign,autre,Ingénierie & technologie,STEM,3784,6.642857142857142,NaN,NaN
Adobe InDesign,autre,Médecine,Médecine,3803,3.3095238095238093,NaN,NaN
Adobe InDesign,autre,Arts et Lettres,SHS,3154,17.476190476190474,NaN,NaN
Adobe InDesign,autre,Sciences physiques,STEM,2598,2.476190476190476,NaN,NaN
Adobe InDesign,autre,Droit,SHS,505,0.6428571428571428,NaN,NaN
Authorea,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,41.81904761904762,NaN,NaN
Authorea,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,41.65238095238095,NaN,NaN
Authorea,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,39.65238095238095,NaN,NaN
Authorea,autres bureautique (wysiwyg),Médecine,Médecine,3803,15.452380952380953,NaN,NaN
Authorea,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,10.81904761904762,NaN,NaN
Authorea,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,35.819047619047616,NaN,NaN
Authorea,autres bureautique (wysiwyg),Droit,SHS,505,1.7857142857142856,NaN,NaN
Pages,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,65.22619047619048,NaN,NaN
Pages,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,60.05952380952383,NaN,NaN
Pages,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,20.726190476190478,NaN,NaN
Pages,autres bureautique (wysiwyg),Médecine,Médecine,3803,28.642857142857135,NaN,NaN
Pages,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,49.05952380952382,NaN,NaN
Pages,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,13.476190476190478,NaN,NaN
Pages,autres bureautique (wysiwyg),Droit,SHS,505,4.809523809523809,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,11.476190476190476,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,11.142857142857142,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,12.976190476190474,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Médecine,Médecine,3803,0.9761904761904762,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,8.142857142857142,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,5.476190476190476,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Droit,SHS,505,2.8095238095238098,NaN,NaN
Box,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,1.8428571428571427,NaN,NaN
Box,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,2.8428571428571425,NaN,NaN
Box,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,2.842857142857143,NaN,NaN
Box,autres bureautique (wysiwyg),Médecine,Médecine,3803,5.342857142857143,NaN,NaN
Box,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,1.6428571428571428,NaN,NaN
Box,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,1.3428571428571427,NaN,NaN
Box,autres bureautique (wysiwyg),Droit,SHS,505,0.14285714285714285,NaN,NaN
Zotero,autre,Sciences sociales et économie,SHS,6353,12.083333333333334,NaN,NaN
Zotero,autre,Sciences de la vie,STEM,5162,4.75,NaN,NaN
Zotero,autre,Ingénierie & technologie,STEM,3784,1.8333333333333333,NaN,NaN
Zotero,autre,Médecine,Médecine,3803,3.25,NaN,NaN
Zotero,autre,Arts et Lettres,SHS,3154,13.833333333333334,NaN,NaN
Zotero,autre,Sciences physiques,STEM,2598,0.25,NaN,NaN
Zotero,autre,Droit,SHS,505,0,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,11.2,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,6.7,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,1.7,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Médecine,Médecine,3803,2.5,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,10.2,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,3.7,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Droit,SHS,505,3,NaN,NaN
TextWrangler,balisage et texte brut,Sciences sociales et économie,SHS,6353,0,NaN,NaN
TextWrangler,balisage et texte brut,Sciences de la vie,STEM,5162,2,NaN,NaN
TextWrangler,balisage et texte brut,Ingénierie & technologie,STEM,3784,0.5,NaN,NaN
TextWrangler,balisage et texte brut,Médecine,Médecine,3803,0,NaN,NaN
TextWrangler,balisage et texte brut,Arts et Lettres,SHS,3154,3.5,NaN,NaN
TextWrangler,balisage et texte brut,Sciences physiques,STEM,2598,0,NaN,NaN
TextWrangler,balisage et texte brut,Droit,SHS,505,0,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,79.29285714285714,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,45.95952380952381,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,23.959523809523805,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Médecine,Médecine,3803,36.509523809523806,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,30.09285714285714,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,23.292857142857144,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Droit,SHS,505,3.892857142857143,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,0,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,0,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,1.5,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Médecine,Médecine,3803,1,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,0,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,0.5,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Droit,SHS,505,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Sciences sociales et économie,SHS,6353,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Sciences de la vie,STEM,5162,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Ingénierie & technologie,STEM,3784,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Médecine,Médecine,3803,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Arts et Lettres,SHS,3154,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Sciences physiques,STEM,2598,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Droit,SHS,505,0,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,62.59523809523811,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,60.01190476190477,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,52.178571428571445,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Médecine,Médecine,3803,15.095238095238097,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,49.42857142857143,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,25.011904761904756,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Droit,SHS,505,2.6785714285714284,NaN,NaN
EndNote,autre,Sciences sociales et économie,SHS,6353,15.892857142857144,NaN,NaN
EndNote,autre,Sciences de la vie,STEM,5162,40.05952380952381,NaN,NaN
EndNote,autre,Ingénierie & technologie,STEM,3784,1.1428571428571428,NaN,NaN
EndNote,autre,Médecine,Médecine,3803,17.55952380952381,NaN,NaN
