tool,famille
TexLipse,format/éditeur apparenté à TeX
eduPad,éditeur de texte brut
DocBook,format/éditeur de balisage léger
Writer's Diet,
Wordpad,éditeur de texte brut
Hidemaru,
Cloudstor / Cloudstor+,
OoWriter,wysiwyg bureautique
Corel,logiciel d'infographie
TeXshop,format/éditeur apparenté à TeX
publishers' online workflow apps,
Everwrite,
iBooks,
WinEdit,
Notational Velocity,
Finding (app),
Dropbox Paper,wysiwyg bureautique
text files,éditeur de texte brut
abiword,
Scapple,
Ashampoo Office,wysiwyg bureautique
SDL,
AutoCAD,
1C,
MS Office,wysiwyg bureautique
literature management programs,
Collective Knowledge,
FocusWriter,format/éditeur de format/éditeur de balisage léger
Confluence wiki,format/éditeur de balisage léger
app,
Mou,format/éditeur de balisage léger
Kate,
nedit,éditeur de texte brut
Cite this for me,
Note,éditeur de texte brut
Scriptdoc,format/éditeur de balisage léger
Editorial (app),
Linked Research,
Adobe Creative Suite,logiciel d'infographie
Sibelius,
cloud,
SurfDrive,
Sente,
OCT,
iNotebook,
MS Note,wysiwyg bureautique
NVIVO,
F1000 Workbench,
Pinta,logiciel d'infographie
nvALT,format/éditeur de balisage léger
Xodo Docs,
BRAHMS,
ChemSketch,
RagTime,
carnet,
publisher,
publishers' production platforms,
Adobe Dreamweaver,éditeur de site web
ArcGIS,
Shapes,
AUCTeX,
EndNoteWeb,
ChemWorx,
Ginko (app),format/éditeur de balisage léger
open source office products,wysiwyg bureautique
MS Win Notepad,wysiwyg bureautique
OWL (Purdue),
MedeA,
Mercury,
PowerCell,
Topas,
Works,wysiwyg bureautique
IrfanView,
Python,
PiratePad,éditeur de texte brut
MediaWiki,format/éditeur de balisage léger
GIS,
MultiMarkdown Composer,format/éditeur de balisage léger
cloud storage,
Photos,
personal solution,
Scribd,
MathCast,
Calc,
Bibdesk,
restructured text for technical documentation,format/éditeur de balisage léger
Writer Pro,éditeur de texte brut
Lynx,
Zettelkasten,
Mindmap,
Sweave,
Preview,
APA (American Psychological Association) manual,
Google,
DuckDuckGo,
php,
Perl,
Javascript,
Peerla,
PDF creator,
copy,
Circus Ponies Notebook,
literature management program,
Dokuwiki,format/éditeur de balisage léger
Igor,
ProCite,
word to pdf converters (and vice versa),wysiwyg bureautique
online platforms to store and share large files,
MS Word Online,Word et apparentés
ACM (Association for Computing Machinery) author profile page,
IDL,
peers / colleagues,
Perforce,
Statistica,
RefWorks Flow,
institutional solution,
ChemOffice,autre
PagePlus,wysiwyg bureautique
Mind Genius,
institutional list of publications,
Indian lists of recent publications,
Linux,
750words.com,
Seafile,
Textilus,wysiwyg bureautique
PDF Pro,
ABBYY FineReader,
Madoko,format/éditeur de balisage léger
Scholarly Markdown,format/éditeur de balisage léger
WriteMonkey,format/éditeur de balisage léger
journal submission system,
Softmaker Office,wysiwyg bureautique
Overleaf,format/éditeur apparenté à TeX
MathMagic,
MS Office 365,wysiwyg bureautique
local tools,
Lilypond,autre
iBooks Author,logiciel d'infographie
Yandex Docuements,autre
MediaWikimarkdown,format/éditeur de balisage léger
Open Words,
Beamer,
Beaker,
Omni Outliner,
Google Translate,
Android applications,
journal articles and textbooks,
TIMEVIEWER,
Rake,autre
Adobe Creative Cloud,logiciel d'infographie
Wikiversity,
TextMate,éditeur de texte brut
Antidote,wysiwyg bureautique
Windows,autre
Web of Science,autre
publisher website,autre
DOI (Digital Object Identifier),autre
online translator,éditeur de texte brut
Elsevier Webshop Language Editing,logiciel d'infographie
Elsevier Webshop Illustration Service,logiciel d'infographie
Prezi,autre
RTF editor,éditeur de texte brut
Text Encoding Initiative,tei/xml
