id,role,last affiliation country,first publication year,tools,disciplines
00d31ee096f8d59d13c5ebc043abd319,Bachelor/Master student,Germany,I haven't published (yet),MS Word,Ingénierie & technologie
00d4ab9ef7cb114a5d3f94ea00126e29,Professor / Associate professor / Assistant professor,Croatia,before 1991,MS Word | Google Drive/Docs,Sciences sociales et économie | Arts et Lettres
00d8c9c6f1a0b0736b8b3f9ae21993cd,Postdoc,Netherlands,2006-2010,MS Word,Médecine
00d9660b43ce5d83319594e6349e41ae,Bachelor/Master student,Poland,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
00dc2acd22a8b6f254222e46def00511,Postdoc,United States,2006-2010,MS Word | Google Drive/Docs,Sciences sociales et économie
00e2551327c2729de3105e6b41a88b2b,PhD student,Netherlands,I haven't published (yet),Google Drive/Docs | Authorea | LaTeX,Arts et Lettres
00e28a61a9378c60e25d490033a1ef32,PhD student,Australia,2006-2010,MS Word,Médecine
00e6d564b7404bc2f3322964e9ef4937,Professor / Associate professor / Assistant professor,United Kingdom,before 1991,MS Word,Sciences de la vie
00e873f446efe562a6c10ff1e276f345,PhD student,United States,2011-2016,MS Word | Google Drive/Docs | LaTeX,Arts et Lettres
00eeb7ff49c210d22b124dcec376917e,Professor / Associate professor / Assistant professor,Singapore,2001-2005,MS Word,Sciences physiques
00f1187f267899f1aea1e4439c0288fc,Professor / Associate professor / Assistant professor,India,2001-2005,MS Word | Google Drive/Docs,Ingénierie & technologie
00f1aa02e7bb7607887bd665f0127c1f,Librarian,Sweden,I haven't published (yet),Pages | MS Word,Sciences de la vie | Médecine
00fc7722be52be1a21f1cb75fe9e9f58,Librarian,United States,I haven't published (yet),MS Word | Google Drive/Docs,Sciences de la vie
00fd3436685b42876ddee29419d34c23,Professor / Associate professor / Assistant professor,France,1991-2000,LaTeX,Ingénierie & technologie
0108a3acedbde46f64ea91137c4d8875,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word,Sciences de la vie
010f3f492308e57654285cf644789d93,Other,France,2011-2016,MS Word,Arts et Lettres
011a0d94682ccb55a1b3362722634139,Postdoc,Germany,2011-2016,MS Word,Sciences de la vie
011cd2b2e4ca985fb01cdca3b8959c63,Professor / Associate professor / Assistant professor,Sweden,2006-2010,Google Drive/Docs | LaTeX,Ingénierie & technologie
011e33d7b7c6e112e10dab6f3e48130d,Bachelor/Master student,France,I haven't published (yet),MS Word | Google Drive/Docs | LaTeX | Overleaf (=WriteLaTeX),Ingénierie & technologie
011e869ab6df1bc1d99cd01a2ae705c0,Professor / Associate professor / Assistant professor,Germany,before 1991,MS Word | Google Drive/Docs,Sciences sociales et économie
0120b5aafc284cc4f9aa9ba21a3e23d2,PhD student,Ukraine,2011-2016,MS Word,Sciences sociales et économie
012e0d2cb4061772a2301200ebd8e009,Postdoc,United Kingdom,2001-2005,MS Word,Médecine
01307f6abfc3a690023730485e9300a5,Professor / Associate professor / Assistant professor,United States,I haven't published (yet),MS Word,Médecine
01324cea159cfc5f17fb727721b4c499,Professor / Associate professor / Assistant professor,United States,2001-2005,MS Word | LaTeX,Sciences physiques
013c8396f8e5c77c8182fc178c899049,PhD student,United States,2011-2016,LaTeX,Sciences physiques
013d74c2642eda829379484d584e15d7,Postdoc,Serbia,2006-2010,LibreOffice Writer | LaTeX,Sciences physiques | Ingénierie & technologie
01416e5248231b687489728fbfd1c994,Librarian,United States,1991-2000,Box | MS Word | Google Drive/Docs,Sciences physiques | Sciences de la vie
014c64dd4a15f64650e217b890f4ae76,Librarian,United States,2001-2005,Google Drive/Docs,Arts et Lettres
014f153c20b5e6a2f3641f886ef1db33,Professor / Associate professor / Assistant professor,Spain,2006-2010,MS Word,Sciences de la vie
015822c461368d128c9e1df2b529b094,Professor / Associate professor / Assistant professor,United States,2011-2016,MS Word | Google Drive/Docs,Sciences sociales et économie
0159006e67bc577820d4a194e6ebc2c8,Professor / Associate professor / Assistant professor,United Kingdom,2006-2010,MS Word,Ingénierie & technologie
01597d6d3c5b690195a54fc564fefbfa,Publisher,Germany,2011-2016,MS Word,Sciences physiques | Arts et Lettres
