id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
77359e3cb4a5a02b50caff4af814bbd6,Other,Romania,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77359e3cb4a5a02b50caff4af814bbd6,Other,Romania,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
77492ee12c26eecfa99541507dd7862d,Postdoc,Switzerland,2001-2005,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
774f55228976e07ee46b46ecc55e2502,Professor / Associate professor / Assistant professor,United Kingdom,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
774f7bdef454c2d54435002b3d0d81e5,Professor / Associate professor / Assistant professor,United Kingdom,before 1991,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
775408b70cb06b625b6eef150b78bf4c,Professor / Associate professor / Assistant professor,Netherlands,before 1991,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
7763e8e877cc9d6baf3172f97c59b5cd,Professor / Associate professor / Assistant professor,Uruguay,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
7763e8e877cc9d6baf3172f97c59b5cd,Professor / Associate professor / Assistant professor,Uruguay,2001-2005,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
7775d3fe8ef078210a04e156f181d039,Professor / Associate professor / Assistant professor,United States,2001-2005,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77827cd2c09f861379d4942b7497a6e4,Postdoc,United States,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77827cd2c09f861379d4942b7497a6e4,Postdoc,United States,I haven't published (yet),0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
77832508162c98676bf998c94765efe2,Postdoc,France,2011-2016,0.25,LaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS
7784b760ee4016952b7236cde0b2d911,Publisher,Australia,I haven't published (yet),0.16666666666666666,MS Word,Word et apparentés,Sciences sociales et économie,SHS
7784b760ee4016952b7236cde0b2d911,Publisher,Australia,I haven't published (yet),0.16666666666666666,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
7784e27e685ff2afeb014851dd1229f8,Professor / Associate professor / Assistant professor,Portugal,1991-2000,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
778f544400caf717527ae29adaa09ec4,Professor / Associate professor / Assistant professor,New Zealand,before 1991,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
779987e0df82e6173268b1b547e5d2d1,Librarian,Ukraine,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
779987e0df82e6173268b1b547e5d2d1,Librarian,Ukraine,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
77a47afaa02cb8571e9a298347d6ee4b,Librarian,United States,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77a47afaa02cb8571e9a298347d6ee4b,Librarian,United States,2006-2010,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
77adf9c862109bda8a2052bb78d9696f,Professor / Associate professor / Assistant professor,United States,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77adf9c862109bda8a2052bb78d9696f,Professor / Associate professor / Assistant professor,United States,2006-2010,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
77b193d5fcbecc55def8f1f54f739fee,Professor / Associate professor / Assistant professor,Argentina,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77b193d5fcbecc55def8f1f54f739fee,Professor / Associate professor / Assistant professor,Argentina,2006-2010,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
77bcaa186041cdf4a60f9ce5530d1ad4,PhD student,United Kingdom,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77bcaa186041cdf4a60f9ce5530d1ad4,PhD student,United Kingdom,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
77c7a12efc8ddbf368fc11af9bbd65c1,Professor / Associate professor / Assistant professor,Australia,1991-2000,0.25,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77dba1d5ad897bc1dfd42a59e78fab0f,PhD student,Norway,2011-2016,0.5,LaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS
77dd6189f019a6f5f5237d59cfff8cb4,PhD student,United States,2011-2016,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
77ed2da96e8e81365f783e2771ad2036,Professor / Associate professor / Assistant professor,South Africa,1991-2000,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
