id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
f403a9e4c6a7590651f2bfe031f65513,Other,Mexico,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f4052250d32930c16f1735abeb509827,Professor / Associate professor / Assistant professor,Spain,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
f4052250d32930c16f1735abeb509827,Professor / Associate professor / Assistant professor,Spain,1991-2000,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f4335a893fa8c501a03ef9b8644b045b,Professor / Associate professor / Assistant professor,Australia,2001-2005,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
f4335a893fa8c501a03ef9b8644b045b,Professor / Associate professor / Assistant professor,Australia,2001-2005,0.25,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f4335a893fa8c501a03ef9b8644b045b,Professor / Associate professor / Assistant professor,Australia,2001-2005,0.25,Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Sciences de la vie,STEM
f43a81fdef580741fa3c569d325730bb,Postdoc,Germany,2006-2010,0.16666666666666666,MS Word,Word et apparentés,Sciences de la vie,STEM
f43a81fdef580741fa3c569d325730bb,Postdoc,Germany,2006-2010,0.16666666666666666,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f43a81fdef580741fa3c569d325730bb,Postdoc,Germany,2006-2010,0.16666666666666666,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
f43a81fdef580741fa3c569d325730bb,Postdoc,Germany,2006-2010,0.16666666666666666,Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Sciences de la vie,STEM
f440048827e188af48ba0f9088423dc4,Other,Canada,1991-2000,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
f440048827e188af48ba0f9088423dc4,Other,Canada,1991-2000,0.25,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f44058a07e546ba5ef7d319180c07df8,PhD student,United States,2011-2016,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
f44058a07e546ba5ef7d319180c07df8,PhD student,United States,2011-2016,0.25,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
f44a659656d8f17447aa6a5d3cbf5a56,Other,Germany,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
f453545555a0b46e4fa50ac18389e84b,Professor / Associate professor / Assistant professor,Brazil,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f45377222382ece907b68c17eebe2f6e,Other,France,1991-2000,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f455024d8b32a3b1de030fe56884cf80,Other,France,2001-2005,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f458bd44bbcba3fb2d82af6784fe9126,Postdoc,Netherlands,2011-2016,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
f458bd44bbcba3fb2d82af6784fe9126,Postdoc,Netherlands,2011-2016,0.25,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f46809ae650b1b7d797e9780f4f860c1,Industry / Government,New Zealand,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f46d4410221318bb5d94b61ac8e15518,Postdoc,Italy,2006-2010,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f471daf4cd8c12825da66c82b71333a6,Industry / Government,New Zealand,before 1991,0.16666666666666666,MS Word,Word et apparentés,Sciences de la vie,STEM
f471daf4cd8c12825da66c82b71333a6,Industry / Government,New Zealand,before 1991,0.16666666666666666,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
f478c24fe6e4e83627624915c11405e4,Postdoc,Denmark,2006-2010,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f4cad8648a1bcefaa656207ed79d04c9,Professor / Associate professor / Assistant professor,Venezuela,before 1991,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
f4cad8648a1bcefaa656207ed79d04c9,Professor / Associate professor / Assistant professor,Venezuela,before 1991,0.25,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f4cad8648a1bcefaa656207ed79d04c9,Professor / Associate professor / Assistant professor,Venezuela,before 1991,0.25,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
f4d38d5d017f329ca0b147ad7f65eaf0,Professor / Associate professor / Assistant professor,India,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
f4d38d5d017f329ca0b147ad7f65eaf0,Professor / Associate professor / Assistant professor,India,2001-2005,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f4f6ca5cbd6d51ceb858bc3592bd44d0,Professor / Associate professor / Assistant professor,Germany,1991-2000,0.2,MS Word,Word et apparentés,Sciences de la vie,STEM
f4f6ca5cbd6d51ceb858bc3592bd44d0,Professor / Associate professor / Assistant professor,Germany,1991-2000,0.2,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f4f6ca5cbd6d51ceb858bc3592bd44d0,Professor / Associate professor / Assistant professor,Germany,1991-2000,0.2,Authorea,autres bureautique (wysiwyg),Sciences de la vie,STEM
f4f6ca5cbd6d51ceb858bc3592bd44d0,Professor / Associate professor / Assistant professor,Germany,1991-2000,0.2,Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Sciences de la vie,STEM
f50fea03d3dc37e1f8703032804c18fc,Librarian,United States,2001-2005,0.2,MS Word,Word et apparentés,Sciences de la vie,STEM
f50fea03d3dc37e1f8703032804c18fc,Librarian,United States,2001-2005,0.2,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f50fea03d3dc37e1f8703032804c18fc,Librarian,United States,2001-2005,0.2,Scrivener,autres bureautique (wysiwyg),Sciences de la vie,STEM
f516a4a77203eb4e36a2ba70c4f3cf46,Postdoc,Netherlands,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
f533858bbfab5e519797e600bdb7bf61,Librarian,Belgium,I haven't published (yet),0.125,MS Word,Word et apparentés,Sciences de la vie,STEM
f5342f1824ce7a4c757450960737defc,PhD student,United Kingdom,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
f5342f1824ce7a4c757450960737defc,PhD student,United Kingdom,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
f53e2080eafa5b710c90b01eff6db728,PhD student,Germany,I haven't published (yet),0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f55f8d0cf03c8a692d87225c12df26bd,Postdoc,Italy,2011-2016,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f5635c7d4ce36c17d42752970652abcb,Other,United States,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f56661a42a124ff99c642625f55f9d10,PhD student,United States,2006-2010,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f56889e74f8a1f1809089e9a09da937e,Bachelor/Master student,United Kingdom,I haven't published (yet),0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
f5875291534477d17de74acd45b4caa0,Postdoc,Germany,2001-2005,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
